127.0.0.1 - - [17/Apr/2017:16:49:11 +0800] "GET / HTTP/1.1" 404 994
192.168.7.156 - - [17/Apr/2017:16:50:19 +0800] "GET /yujiu.web/users/biz?username=3&password=3 HTTP/1.1" 500 14325
192.168.7.156 - - [17/Apr/2017:16:51:07 +0800] "GET /yujiu.web/users/biz?username=3&password=3 HTTP/1.1" 500 14325
192.168.7.156 - - [17/Apr/2017:16:53:05 +0800] "GET /yujiu.web/users/biz?username=3&password=3 HTTP/1.1" 200 178
192.168.7.156 - - [17/Apr/2017:16:53:05 +0800] "GET /yujiu.web/users/biz?username=3&password=3&loginfo=%E7%99%BB%E9%99%86&userid=5 HTTP/1.1" 200 178
192.168.7.156 - - [17/Apr/2017:16:53:07 +0800] "GET /yujiu.web/collection/biz HTTP/1.1" 200 337
192.168.7.156 - - [17/Apr/2017:16:53:07 +0800] "GET /yujiu.web/devices/biz HTTP/1.1" 200 156
192.168.7.156 - - [17/Apr/2017:16:53:07 +0800] "GET /yujiu.web/status/biz HTTP/1.1" 200 247
192.168.7.156 - - [17/Apr/2017:16:53:59 +0800] "GET /yujiu.web/devices/biz HTTP/1.1" 200 156
192.168.7.156 - - [17/Apr/2017:16:53:59 +0800] "GET /yujiu.web/collection/biz HTTP/1.1" 200 337
192.168.7.156 - - [17/Apr/2017:16:54:00 +0800] "GET /yujiu.web/status/biz HTTP/1.1" 200 247
192.168.7.156 - - [17/Apr/2017:16:54:28 +0800] "GET /yujiu.web/devices/biz HTTP/1.1" 200 156
192.168.7.156 - - [17/Apr/2017:16:54:28 +0800] "GET /yujiu.web/collection/biz HTTP/1.1" 200 337
192.168.7.156 - - [17/Apr/2017:16:54:28 +0800] "GET /yujiu.web/status/biz HTTP/1.1" 200 247
