127.0.0.1 - - [18/Apr/2017:10:50:48 +0800] "GET / HTTP/1.1" 404 994
192.168.7.156 - - [18/Apr/2017:10:51:39 +0800] "GET /yujiu.web/users/biz?username=3&password=3 HTTP/1.1" 200 178
192.168.7.156 - - [18/Apr/2017:10:51:39 +0800] "GET /yujiu.web/users/biz?username=3&password=3&loginfo=%E7%99%BB%E9%99%86&userid=5 HTTP/1.1" 200 178
192.168.7.156 - - [18/Apr/2017:10:51:40 +0800] "GET /yujiu.web/collection/biz HTTP/1.1" 200 337
192.168.7.156 - - [18/Apr/2017:10:51:40 +0800] "GET /yujiu.web/status/biz HTTP/1.1" 200 247
192.168.7.156 - - [18/Apr/2017:10:51:40 +0800] "GET /yujiu.web/devices/biz HTTP/1.1" 200 156
192.168.7.156 - - [18/Apr/2017:13:04:14 +0800] "GET /topit-weixin-web/mobile/feedback/getpositions?branch= HTTP/1.1" 404 1084
192.168.7.156 - - [18/Apr/2017:13:09:14 +0800] "GET /topit-weixin-web/mobile/feedback/getpositions?branch= HTTP/1.1" 404 1084
192.168.7.156 - - [18/Apr/2017:13:09:24 +0800] "GET /topit-weixin-web/mobile/feedback/getpositions?branch= HTTP/1.1" 404 1084
192.168.7.156 - - [18/Apr/2017:13:09:55 +0800] "GET /topit-weixin-web/mobile/feedback/getpositions?branch= HTTP/1.1" 404 1084
192.168.7.156 - - [18/Apr/2017:13:10:01 +0800] "GET /topit-weixin-web/mobile/feedback/gettopicinfo?id=7075a0c184664bdf979f3db3d637ae91 HTTP/1.1" 404 1084
192.168.7.156 - - [18/Apr/2017:13:10:01 +0800] "GET /topit-weixin-web/mobile/feedback/getreplay?id=7075a0c184664bdf979f3db3d637ae91 HTTP/1.1" 404 1078
192.168.7.156 - - [18/Apr/2017:13:10:12 +0800] "GET /topit-weixin-web/mobile/producteveluate/findEvaluationAVGScoreByProduct?productNo= HTTP/1.1" 404 1136
192.168.7.156 - - [18/Apr/2017:13:10:12 +0800] "GET /topit-weixin-web/mobile/salinfo/getProduct?product_no= HTTP/1.1" 404 1078
192.168.7.156 - - [18/Apr/2017:13:10:12 +0800] "GET /topit-weixin-web/mobile/producteveluate/findProductTag HTTP/1.1" 404 1102
192.168.7.156 - - [18/Apr/2017:13:10:12 +0800] "GET /topit-weixin-web/mobile/producteveluate/findProductInfoByPorductNo?productNo= HTTP/1.1" 404 1126
192.168.7.156 - - [18/Apr/2017:13:11:37 +0800] "GET /topit-weixin-web/mobile/feedback/gettopicinfo?id=7075a0c184664bdf979f3db3d637ae91 HTTP/1.1" 404 1084
192.168.7.156 - - [18/Apr/2017:13:11:37 +0800] "GET /topit-weixin-web/mobile/feedback/getreplay?id=7075a0c184664bdf979f3db3d637ae91 HTTP/1.1" 404 1078
192.168.7.156 - - [18/Apr/2017:13:11:51 +0800] "GET /topit-weixin-web/mobile/shopsalinfo/getbestsalecat0?branch= HTTP/1.1" 404 1096
192.168.7.156 - - [18/Apr/2017:13:12:23 +0800] "GET /topit-weixin-web/mobile/salinfo/getProduct?product_no= HTTP/1.1" 404 1078
192.168.7.156 - - [18/Apr/2017:13:12:23 +0800] "GET /topit-weixin-web/mobile/producteveluate/findProductTag HTTP/1.1" 404 1102
192.168.7.156 - - [18/Apr/2017:13:12:23 +0800] "GET /topit-weixin-web/mobile/producteveluate/findProductInfoByPorductNo?productNo= HTTP/1.1" 404 1126
192.168.7.156 - - [18/Apr/2017:13:12:23 +0800] "GET /topit-weixin-web/mobile/producteveluate/findEvaluationAVGScoreByProduct?productNo= HTTP/1.1" 404 1136
192.168.7.156 - - [18/Apr/2017:13:13:02 +0800] "GET /topit-weixin-web/mobile/producteveluate/findEvaluationInfoByProduct?productNo= HTTP/1.1" 404 1128
192.168.7.156 - - [18/Apr/2017:13:13:20 +0800] "GET /topit-weixin-web/mobile/producteveluate/findEvaluationAVGScoreByProduct?productNo= HTTP/1.1" 404 1136
192.168.7.156 - - [18/Apr/2017:13:13:20 +0800] "GET /topit-weixin-web/mobile/salinfo/getProduct?product_no= HTTP/1.1" 404 1078
192.168.7.156 - - [18/Apr/2017:13:13:20 +0800] "GET /topit-weixin-web/mobile/producteveluate/findProductInfoByPorductNo?productNo= HTTP/1.1" 404 1126
192.168.7.156 - - [18/Apr/2017:13:13:20 +0800] "GET /topit-weixin-web/mobile/producteveluate/findProductTag HTTP/1.1" 404 1102
192.168.7.156 - - [18/Apr/2017:13:14:54 +0800] "GET /topit-weixin-web/mobile/salinfo/getProduct?product_no= HTTP/1.1" 404 1078
192.168.7.156 - - [18/Apr/2017:13:14:54 +0800] "GET /topit-weixin-web/mobile/producteveluate/findEvaluationAVGScoreByProduct?productNo= HTTP/1.1" 404 1136
192.168.7.156 - - [18/Apr/2017:13:14:54 +0800] "GET /topit-weixin-web/mobile/producteveluate/findProductTag HTTP/1.1" 404 1102
192.168.7.156 - - [18/Apr/2017:13:14:54 +0800] "GET /topit-weixin-web/mobile/producteveluate/findProductInfoByPorductNo?productNo= HTTP/1.1" 404 1126
192.168.7.156 - - [18/Apr/2017:13:15:19 +0800] "GET /topit-weixin-web/mobile/salinfo/getProduct?product_no= HTTP/1.1" 404 1078
192.168.7.156 - - [18/Apr/2017:13:15:19 +0800] "GET /topit-weixin-web/mobile/producteveluate/findProductTag HTTP/1.1" 404 1102
192.168.7.156 - - [18/Apr/2017:13:15:19 +0800] "GET /topit-weixin-web/mobile/producteveluate/findProductInfoByPorductNo?productNo= HTTP/1.1" 404 1126
